Home Team,Away Team,Result,Home Team Goals Scored,Away Team Goals Scored,Home Team Possession %,Away Team Possession %,Winning Team Possession Difference %,Home Team Off Target Shots,Away Team Off Target Shots,Home Team On Target Shots,Away Team On Target Shots,Home Team Total Shots,Away Team Total Shots,Home Away Teamlocked Shots,Away Team Blocked Shots,Home Team Corners,Away Team Corners,Home Team Throw Ins,Away Team Throw Ins,Home Team Pass Success %,Away Team Pass Success %,Home Team Clearances,Away Team Clearances,Home Team Fouls,Away Team Fouls,Home Team Yellow Cards,Away Team Yellow Cards,Home Team Second Yellow Cards,Away Team Second Yellow Cards,Home Team Red Cards,Away Team Red Cards,Home Team Goals Conceeded,Away Team Goals Conceeded,year,Half Time Score,Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Aerials Won,Away Team Aerials Won
1,0,Away Team Win,1,2,68,32,-36,6,4,6,4,13,9,1,1,4,1,24,17,87,66,16,32,18,15,1,3,0,0,0,0,2,1,2016,0-1,1-2,6.7,6,6.5,13,15
0,1,Home Team Win,2,1,64,36,28,7,1,10,0,19,3,2,2,9,1,16,27,86,72,17,19,9,8,0,0,0,0,0,2,1,2,2016,44563,2-1,5.9,7.3,4.5,27,17
2,2,Tie,1,1,54,46,,4,5,1,3,6,10,1,2,3,2,45,34,68,66,29,38,10,15,3,1,0,0,0,0,1,1,2016,0-1,1-1,3.9,6.1,6.6,35,27
1,0,Away Team Win,0,2,51,49,-2,8,4,1,3,11,9,2,2,6,8,35,26,76,74,26,40,11,9,0,2,0,0,0,0,2,0,2016,0-0,0-2,3.9,5.5,6.5,23,27
1,0,Away Team Win,2,3,65,35,-30,5,0,6,4,15,5,4,1,2,2,27,26,83,63,18,25,13,11,4,3,0,0,0,0,3,2,2016,0-1,2-3,7.4,5.4,5.6,13,12
2,2,Tie,1,1,50,50,,7,11,3,5,11,18,1,2,4,9,27,22,73,72,30,24,11,14,2,2,0,0,0,0,1,1,2016,44562,1-1,5,5.7,6.2,29,31
0,1,Home Team Win,3,1,54,46,8,4,5,4,4,10,12,2,3,3,7,17,18,86,83,28,18,14,21,3,3,0,0,0,0,1,3,2016,2-0,3-1,5.7,6.5,5.7,18,12
1,0,Away Team Win,0,3,46,54,8,6,7,3,6,13,20,4,7,3,3,28,20,69,76,24,20,17,21,2,4,0,0,1,0,3,0,2016,0-1,0-3,5.6,4.4,7.9,16,17
2,2,Tie,1,1,55,45,,5,3,4,7,11,14,2,4,4,13,21,24,86,80,31,20,13,11,0,1,0,0,0,0,1,1,2016,0-0,1-1,6,6.2,7,20,18
0,1,Home Team Win,1,0,29,71,-42,4,6,3,2,9,11,2,3,0,7,33,27,57,81,18,33,12,15,1,3,0,0,0,0,0,1,2016,0-0,1-0,3.5,6.5,5.7,18,28
0,1,Home Team Win,3,0,35,65,-30,4,7,7,1,14,11,3,3,3,4,19,26,76,87,17,8,21,11,1,1,0,0,0,0,0,3,2016,0-0,3-0,5.5,8,5.1,12,9
