Result,Home Team Rating,Winning Team Possession Difference %,Home Team Possession %
Away Team Win,4.9,-2,64
Tie,5.9,8,54
Home Team Win,7.2,0,37
Home Team Win,6.8,-44,27
Away Team Win,5.6,12,45
Home Team Win,8,-24,59
Tie,6,-18,27
Away Team Win,4.9,-16,51
Home Team Win,8.4,-2,66
Away Team Win,6.2,36,55
Away Team Win,5.9,-6,67
Tie,6.3,2,57
Home Team Win,6.3,6,44
Away Team Win,5,-18,68
Home Team Win,6.1,-32,53
Home Team Win,9.3,12,56
Tie,7,-8,59
Away Team Win,5.7,-24,39
Away Team Win,4.8,12,35
Home Team Win,7.5,32,55
Home Team Win,6.5,2,30
Tie,6.1,-32,45
Home Team Win,8,2,54
Away Team Win,5.1,14,65
Home Team Win,7,-46,62
Tie,6.6,-20,35
Home Team Win,8,-12,68
Home Team Win,6.6,20,49
Home Team Win,6.5,-22,50
Away Team Win,4.9,34,33
Home Team Win,6.8,14,54
Home Team Win,8.2,-4,65
Home Team Win,7,-24,41
Away Team Win,5.5,-50,45
Home Team Win,8.7,-20,62
Home Team Win,7.6,-8,76
Home Team Win,7,18,46
Tie,5.7,-38,60
Home Team Win,7.2,12,56
Home Team Win,6.3,-20,64
Away Team Win,5,32,56
Home Team Win,6.5,-34,53
Away Team Win,5.2,-26,18
Home Team Win,7.2,4,56
Home Team Win,6.8,-4,39
Away Team Win,5.8,-40,36
Tie,6.2,-26,42
Away Team Win,6.2,38,63
Home Team Win,6.4,14,45
Home Team Win,7.5,-4,53
Away Team Win,5.1,-22,56
Home Team Win,6.9,-16,29
Home Team Win,6.9,0,37
Home Team Win,7.9,-28,71
Home Team Win,7.3,4,69
Tie,7.2,-12,76
Home Team Win,7,-14,46
Tie,6.1,-26,49
Away Team Win,5.7,0,62
Home Team Win,6.7,-6,64
Away Team Win,5.3,-16,37
Home Team Win,7.1,-26,33
Home Team Win,7.9,-12,65
Away Team Win,5.5,-14,64
Tie,6,4,62
Home Team Win,7.6,-14,30
Away Team Win,5,0,37
Away Team Win,5.3,-20,35
Home Team Win,6.4,-10,51
Home Team Win,6.9,20,59
Home Team Win,6.6,-2,37
Home Team Win,6.9,-22,48
Away Team Win,5.6,-12,60
Away Team Win,5.1,-38,49
Away Team Win,5.7,42,29
Home Team Win,6.7,-14,49
Home Team Win,7.4,-8,71
Home Team Win,7.4,4,47
Home Team Win,7,-12,50
Home Team Win,8.3,6,79
Away Team Win,5.2,-26,33
Away Team Win,4.6,2,45
Away Team Win,5.3,-22,60
Away Team Win,6.3,-22,54
Home Team Win,7.5,-10,43
Home Team Win,7.2,-2,54
Home Team Win,7.1,-10,78
Away Team Win,6.1,8,72
Home Team Win,8.2,-14,70
Home Team Win,7.3,-22,41
Home Team Win,7,18,46
Home Team Win,7.3,-16,31
Away Team Win,3.8,6,50
Home Team Win,6.7,34,42
Away Team Win,5.5,-20,28
Home Team Win,7.5,-22,62
Away Team Win,5.6,-8,34
Home Team Win,6.8,-38,61
Tie,6.7,26,68
Away Team Win,5.5,4,46
Tie,6.1,-38,49
Away Team Win,5.9,-2,49
Home Team Win,6.9,32,43
Home Team Win,8.9,-28,48
Away Team Win,5.6,24,73
Away Team Win,4.8,8,24
Tie,6.8,38,76
Home Team Win,9.2,26,70
Away Team Win,5.7,-20,63
Tie,7.1,-2,44
Tie,6.3,-20,36
Away Team Win,6,-22,56
Home Team Win,6.8,-10,73
Tie,6.5,30,50
Home Team Win,8.8,2,67
Away Team Win,5.3,-22,30
Tie,6.4,2,52
Home Team Win,7.6,6,60
Home Team Win,7.1,6,54
Home Team Win,7.9,-20,56
Home Team Win,6.8,-18,39
Away Team Win,5.8,2,39
Away Team Win,5.9,-6,31
Home Team Win,8,-38,58
Tie,6.1,-4,36
Tie,6.4,-2,70
Home Team Win,6.8,30,61
Away Team Win,4.9,-14,68
Home Team Win,7.3,-36,59
Tie,5.9,-12,55
Away Team Win,6.1,6,74
Tie,6.8,24,47
Away Team Win,5.1,32,40
Tie,6.2,-16,54
Home Team Win,7,6,45
Away Team Win,4.8,0,24
Away Team Win,4.6,28,48
Home Team Win,7.8,-8,58
Away Team Win,4.1,32,43
Home Team Win,7.1,-24,46
Tie,6.1,18,35
Away Team Win,5,2,48
Tie,6.3,-8,53
Home Team Win,7.5,12,70
Tie,6.5,36,70
Away Team Win,6.3,0,38
Home Team Win,7.7,-12,46
Home Team Win,7,-6,68
Away Team Win,5.9,6,63
Away Team Win,5.1,-18,37
Tie,6.5,-6,57
Home Team Win,6.6,-2,44
Home Team Win,7.3,-24,63
Tie,7.5,-6,56
Home Team Win,6.4,12,43
Tie,6.5,-16,50
Tie,6.2,-48,35
Home Team Win,6.8,12,35
Away Team Win,5.8,24,47
Away Team Win,5.4,-28,71
Away Team Win,5.7,-26,49
Away Team Win,5.7,0,51
Away Team Win,4.7,-26,55
Home Team Win,7.3,-4,53
Away Team Win,5.9,4,26
Tie,6,-10,65
Away Team Win,5.7,22,80
Tie,5.9,-10,41
Tie,6.5,-28,62
Home Team Win,7.3,14,55
Home Team Win,8.3,34,54
Home Team Win,7.4,-8,49
Tie,6.6,-10,49
Home Team Win,7,-28,53
Away Team Win,4.7,24,37
Home Team Win,6.5,-18,59
Tie,6.4,40,55
Home Team Win,7.9,36,76
Home Team Win,7.7,26,64
Home Team Win,6.7,18,42
Away Team Win,5.6,26,49
Tie,6.7,34,63
Away Team Win,5.2,44,44
Home Team Win,6.3,14,31
Home Team Win,7.5,12,40
Tie,7,2,53
Tie,6.9,22,47
Away Team Win,5.8,-18,65
Home Team Win,7.2,-32,44
Home Team Win,7.3,-34,41
Home Team Win,10,-46,69
Away Team Win,5.8,0,70
Tie,6.4,16,29
Home Team Win,7.3,-2,46
Tie,6.8,-4,50
Home Team Win,5.9,-16,58
Away Team Win,5.7,-14,55
Away Team Win,5.8,-12,30
Home Team Win,6.7,44,45
Tie,6.2,-18,48
Home Team Win,7,10,39
Tie,6.3,6,61
Home Team Win,8.1,6,53
Home Team Win,6.6,-34,41
Away Team Win,5.6,6,37
Home Team Win,9,28,69
Tie,6,-22,55
Home Team Win,7.9,10,48
Home Team Win,7.2,16,51
Away Team Win,4.2,18,58
Home Team Win,6.5,10,41
Tie,6.3,22,39
Away Team Win,5.5,-4,52
Away Team Win,5.5,-18,76
Home Team Win,6.8,-8,52
Away Team Win,5.2,-12,44
Home Team Win,6.6,-12,31
Home Team Win,7.4,10,51
Home Team Win,7,14,65
Tie,6.5,4,47
Tie,5.9,22,56
Home Team Win,7,18,49
Home Team Win,7.2,-2,71
Tie,6.3,-4,70
Away Team Win,5.2,-6,29
Tie,6.2,2,32
Home Team Win,6.6,14,31
Away Team Win,2.4,-6,27
Home Team Win,7.7,64,63
Tie,6.3,-14,61
Home Team Win,6.3,-16,55
Tie,6.1,44,40
Away Team Win,5.3,2,37
Tie,6,-28,43
Home Team Win,7.5,20,68
Tie,6.3,-14,57
Away Team Win,4.3,-24,46
Home Team Win,7,-10,42
Away Team Win,5.3,8,26
Home Team Win,6.8,12,75
Tie,6,18,58
Home Team Win,7.4,24,45
Away Team Win,5.4,-14,69
Home Team Win,7.2,-26,58
Away Team Win,5.3,2,33
Away Team Win,5.4,-2,44
Tie,6.6,12,48
Away Team Win,6,16,66
Home Team Win,7.5,-32,60
Home Team Win,7,0,33
Tie,6.4,-16,61
Home Team Win,7.7,-2,40
Away Team Win,5.5,10,47
Home Team Win,8.1,-2,51
Home Team Win,6.3,0,50
Home Team Win,7.6,28,43
Home Team Win,6.9,4,45
Away Team Win,5.6,30,47
Away Team Win,4.6,-8,53
Away Team Win,4.8,-2,62
Away Team Win,5,6,46
Tie,6,6,61
Away Team Win,5.5,-16,57
Away Team Win,5.9,30,41
Home Team Win,7,-36,47
Tie,6.9,-34,40
Home Team Win,7.2,-34,62
Tie,5.8,-4,23
Home Team Win,6.4,48,45
Away Team Win,6.3,16,65
Home Team Win,6.4,18,54
Away Team Win,5.5,32,44
Home Team Win,6.9,12,63
Tie,6.4,8,59
Tie,6.4,-12,40
Tie,6,-4,62
Home Team Win,6.8,-4,70
Home Team Win,6.1,4,31
Away Team Win,4.7,-10,24
Home Team Win,7.2,14,50
Home Team Win,7.1,-28,46
Home Team Win,7.5,16,63
Home Team Win,7.3,-14,64
Home Team Win,6.7,-14,40
Home Team Win,7.5,-12,59
Away Team Win,6,14,73
Away Team Win,5.3,32,49
Home Team Win,7.4,-20,30
Home Team Win,8.9,0,49
Tie,5.8,10,50
Away Team Win,4.7,4,26
Away Team Win,5.8,2,72
Away Team Win,4.2,-12,41
Home Team Win,6.7,-8,45
Away Team Win,5.7,20,58
Tie,6.3,10,62
Away Team Win,5.9,10,36
Home Team Win,7,20,68
Away Team Win,6.3,24,67
Home Team Win,6.6,-24,57
Tie,6.9,-22,57
Home Team Win,6.6,2,48
Away Team Win,5.6,-10,57
Away Team Win,5.5,-34,58
Tie,6.6,-18,66
Away Team Win,5.1,16,42
Tie,6,-14,34
Tie,6.3,8,43
Home Team Win,6.6,32,42
Away Team Win,6.1,0,50
Away Team Win,5.7,-4,69
Away Team Win,6.1,-20,65
Away Team Win,5.1,-30,56
Home Team Win,7.9,4,63
Home Team Win,6.7,-4,36
Away Team Win,5.1,16,45
Away Team Win,5.6,0,29
Home Team Win,6.7,-2,54
Tie,6.3,-12,58
Home Team Win,7,-6,58
Tie,6.7,2,39
Home Team Win,6.2,42,43
Away Team Win,5.6,-28,66
Home Team Win,6.9,-6,68
Home Team Win,8.3,-22,74
Away Team Win,4.7,22,41
Home Team Win,7.1,30,62
Home Team Win,7.4,-14,55
Away Team Win,4.9,46,42
Tie,6.7,-24,60
Home Team Win,7.1,12,49
Tie,6,24,41
Away Team Win,5,-42,43
Away Team Win,5.1,8,38
Away Team Win,5.7,-10,42
Home Team Win,6.9,10,63
Home Team Win,7.4,20,73
Tie,6.4,10,48
Away Team Win,5.4,-2,62
Home Team Win,6.5,16,41
Home Team Win,6.3,8,36
Away Team Win,4.9,-14,23
Home Team Win,7.2,-16,65
Tie,6.6,20,41
Home Team Win,8.3,-34,43
Home Team Win,7.1,-14,49
Home Team Win,7.3,-14,75
Home Team Win,6.8,40,47
Tie,6.4,0,42
Tie,6.7,26,65
Home Team Win,7.8,-16,65
Home Team Win,6.8,40,53
Home Team Win,8.3,2,60
Away Team Win,5.4,24,58
Away Team Win,5.9,38,33
Away Team Win,4.8,4,56
Away Team Win,3.9,4,29
Tie,6.1,4,41
Tie,6.5,-40,72
Away Team Win,5.3,2,53
Tie,6.3,2,56
Tie,6.3,26,61
Home Team Win,6.2,10,66
Tie,6.5,2,49
Home Team Win,6.6,10,30
Home Team Win,6.1,-24,44
Home Team Win,7.1,34,53
Home Team Win,6.5,44,64
Tie,6.8,-34,55
Away Team Win,4.7,4,33
Home Team Win,6.6,-24,34
Away Team Win,5.3,-36,44
Tie,7.2,24,59
Home Team Win,7.6,14,68
Home Team Win,6.3,14,51
Away Team Win,5.9,20,72
Away Team Win,5.5,0,47
Tie,6.4,48,50
Home Team Win,7.7,-16,62
Tie,6.4,16,43
Tie,6.5,26,35
Away Team Win,5.7,-30,61
Away Team Win,5.4,18,44
Home Team Win,6.1,26,40
Tie,6.4,14,64
Tie,6.5,-12,42
Home Team Win,7,-18,33
Home Team Win,7.3,2,46
Tie,6.3,-2,67
Home Team Win,6.4,-2,54
Tie,6.1,18,41
Away Team Win,5.2,-10,64
Away Team Win,5.8,14,36
Away Team Win,5.3,-2,54
Home Team Win,8.1,-8,69
Away Team Win,5.4,14,61
Home Team Win,7.3,4,78
Home Team Win,7.1,14,49
Tie,6.2,24,67
Home Team Win,7.4,-28,41
Home Team Win,7.9,-32,46
Home Team Win,7.2,-22,44
Away Team Win,5.6,-12,32
Home Team Win,7.7,24,40
Home Team Win,8.3,10,58
Home Team Win,6.6,10,51
Home Team Win,7.4,30,70
Home Team Win,7.1,48,42
Away Team Win,6.5,-8,66
Tie,6.4,-42,54
Home Team Win,6.8,-20,34
Tie,6.1,16,27
Home Team Win,8,2,29
Away Team Win,6,2,65
Tie,6.4,-16,44
Tie,6.7,30,45
Home Team Win,8.4,-38,67
Home Team Win,6.8,-12,74
Home Team Win,6.6,28,42
Away Team Win,5.2,-2,38
Home Team Win,6.5,-24,45
Tie,6.2,-6,43
Home Team Win,6.3,24,69
Tie,6.5,-30,45
Home Team Win,8.8,38,61
Home Team Win,7.3,-14,28
Home Team Win,8.5,-18,65
Away Team Win,4.6,6,54
Tie,6,-20,39
Tie,6.2,-6,32
Home Team Win,7.1,10,41
Away Team Win,5.3,12,42
Away Team Win,5.5,4,59
Home Team Win,7.9,16,46
Away Team Win,5.6,-34,26
Tie,6.2,18,30
Home Team Win,8.6,-6,71
Tie,6.5,-4,67
Home Team Win,6.9,-14,65
Tie,5.9,28,52
Home Team Win,8.1,14,68
Away Team Win,5.5,0,46
Home Team Win,6.2,12,55
Home Team Win,8.5,-14,74
Home Team Win,6.3,-18,55
Away Team Win,5.3,-44,52
Home Team Win,7.3,4,35
Away Team Win,5.3,22,48
Away Team Win,4.5,14,47
Away Team Win,5.8,-16,58
Away Team Win,5.1,8,37
Away Team Win,4.8,-6,55
Home Team Win,8.4,-14,52
Home Team Win,6.6,-18,34
Home Team Win,6.5,26,29
Home Team Win,7.2,32,33
Home Team Win,8,4,48
Away Team Win,5.7,16,58
Home Team Win,8,14,70
Home Team Win,8.1,28,52
Away Team Win,5.1,-2,52
Home Team Win,8,-12,70
Tie,6,-12,47
Tie,6.3,-18,57
Home Team Win,6.7,-16,71
Home Team Win,7,22,26
Home Team Win,6.4,-40,51
Away Team Win,5.8,8,42
Home Team Win,6.7,-2,43
Tie,6.4,-36,38
Home Team Win,9.4,6,74
Home Team Win,6.8,0,43
Away Team Win,6,0,53
Away Team Win,4.9,-18,44
Tie,6.2,10,39
Tie,6.1,-22,36
Away Team Win,4.8,14,33
Away Team Win,4.8,14,52
Home Team Win,6.2,0,48
Tie,6.9,-14,71
Home Team Win,7.6,-10,24
Away Team Win,4.3,28,29
Home Team Win,7.8,-34,55
Home Team Win,7,-18,45
Home Team Win,6.9,4,37
Home Team Win,7.3,10,44
Tie,5.9,28,48
Home Team Win,6.8,-8,67
Home Team Win,7,8,72
Away Team Win,5.5,12,53
Tie,5.9,-30,46
Home Team Win,5.9,-28,31
Tie,6.4,14,55
Home Team Win,7.4,14,54
Tie,6.4,24,68
Away Team Win,6.2,-32,40
Home Team Win,6.9,-46,41
Away Team Win,4,14,42
Away Team Win,5,-64,42
Home Team Win,6.8,-2,29
Away Team Win,5.5,18,51
Tie,6.7,0,62
Home Team Win,6.8,16,54
Away Team Win,3.9,-26,23
Home Team Win,6.8,22,31
Tie,6.1,-16,57
Home Team Win,7.5,10,50
Home Team Win,7.4,26,63
Away Team Win,5.5,20,70
Away Team Win,5.5,6,46
Away Team Win,5.6,-14,54
Tie,6.2,10,62
Home Team Win,7.1,-4,73
Tie,6.5,46,47
Home Team Win,9,2,74
Away Team Win,5.2,-18,25
Home Team Win,6.2,32,51
Away Team Win,5.2,38,45
Home Team Win,5.8,38,30
Home Team Win,6.8,10,48
Away Team Win,5.6,30,58
Away Team Win,4.5,28,37
Away Team Win,6,-12,51
Away Team Win,5.6,30,55
Away Team Win,5.3,-2,52
Away Team Win,5.3,-2,37
Home Team Win,7.7,-12,69
Home Team Win,8.2,6,72
Home Team Win,7.2,-18,50
Away Team Win,5.2,-48,76
Home Team Win,6.8,-6,63
Away Team Win,4.6,-24,53
Away Team Win,4.6,-6,47
Away Team Win,5,20,39
Home Team Win,7.3,30,68
Home Team Win,6.6,20,72
Away Team Win,5.1,24,35
Away Team Win,5.3,30,54
Away Team Win,5.4,38,42
Tie,6,-16,24
Away Team Win,5.9,12,54
Away Team Win,5.4,42,36
Tie,7.2,40,66
Away Team Win,4.3,-22,72
Home Team Win,8.3,6,37
Away Team Win,4.7,-4,65
Home Team Win,7.5,22,66
Home Team Win,8,10,71
Home Team Win,7.9,18,43
Tie,7.1,22,52
Home Team Win,6.6,-2,48
Away Team Win,4.9,4,69
Home Team Win,7.4,-24,62
Home Team Win,6.5,-2,47
Home Team Win,7.1,-30,65
Away Team Win,3.5,-24,38
Home Team Win,8.6,-2,31
Tie,5.5,24,42
Tie,6.6,-30,53
Home Team Win,6.7,22,59
Away Team Win,4.7,14,36
Tie,6.4,-8,41
Tie,6.2,-56,34
Tie,6.7,30,51
Away Team Win,6.1,-38,50
Tie,6.4,-28,57
Away Team Win,6.1,-4,68
Away Team Win,4.7,18,40
Tie,5.8,-12,30
Away Team Win,5.2,12,66
Tie,6.8,-2,50
Home Team Win,6.4,-30,62
Home Team Win,7.7,-6,54
Tie,6.5,20,63
Away Team Win,6.1,-24,57
Tie,6.2,-10,50
Away Team Win,5.9,14,38
Home Team Win,7.3,22,45
Away Team Win,5.5,-24,35
Away Team Win,4.7,52,36
Home Team Win,7,40,72
Away Team Win,6.1,-6,56
Home Team Win,6.5,36,37
Away Team Win,5.6,-40,53
Home Team Win,6.6,-22,44
Home Team Win,7.3,36,45
Away Team Win,5,-6,67
Tie,6.5,10,59
Home Team Win,7.8,-34,61
Away Team Win,5.4,8,55
Home Team Win,7.7,-2,35
Home Team Win,7.9,22,71
Home Team Win,6.8,10,52
Away Team Win,6,8,41
Home Team Win,6.4,36,50
Tie,5.7,-6,55
Away Team Win,4.9,8,59
Away Team Win,5.1,22,29
Away Team Win,5.8,2,55
Home Team Win,6.9,-34,34
Home Team Win,6.6,-4,63
Away Team Win,5.2,-2,53
Away Team Win,6.2,22,51
Tie,6.7,-22,66
Home Team Win,8.2,30,57
Home Team Win,6.3,-30,46
Tie,6.7,-6,45
Away Team Win,5.2,36,58
Tie,6.3,0,40
Home Team Win,8.8,10,69
Away Team Win,5.7,-8,42
Home Team Win,6.7,22,48
Away Team Win,5.8,-12,50
Tie,6.5,18,60
Away Team Win,5.5,16,56
Away Team Win,5.4,8,68
Home Team Win,5.7,16,34
Tie,6.2,10,41
Home Team Win,7.7,24,69
Away Team Win,5.4,0,40
Home Team Win,7.5,4,46
Away Team Win,4.5,-26,50
Away Team Win,5.7,-16,30
Home Team Win,6.9,-4,31
Home Team Win,8.2,-22,61
Away Team Win,5.6,-26,47
Home Team Win,7.3,2,59
Away Team Win,6.2,18,64
Away Team Win,5.3,16,51
Home Team Win,6.9,18,46
Tie,6.6,52,46
Home Team Win,7,20,28
Home Team Win,7.6,-30,68
Tie,6.2,-6,43
Tie,6.3,-32,25
Away Team Win,5.8,30,65
Home Team Win,7.5,-40,54
Home Team Win,7.3,-26,45
Tie,6.7,0,77
Tie,6.1,-44,35
Away Team Win,5.3,14,61
Home Team Win,8.5,10,68
Home Team Win,7.7,4,76
Tie,6.1,-26,46
Tie,6.6,10,52
Tie,6.3,-30,59
Away Team Win,5.4,26,41
Away Team Win,3.5,28,35
Away Team Win,6,-12,48
Home Team Win,6.7,12,42
Tie,6.4,34,49
Tie,6.6,4,73
Away Team Win,5.1,-4,56
Home Team Win,8.6,36,41
Away Team Win,4.4,-2,33
Home Team Win,6.4,0,36
Home Team Win,7.9,-18,54
Tie,6.2,-6,54
Home Team Win,7.5,16,39
Tie,6.4,4,47
Home Team Win,6.8,28,40
Home Team Win,7.5,14,76
Away Team Win,5.7,-28,44
Home Team Win,6.7,-12,52
Tie,6.5,6,43
Tie,6.1,-8,78
Tie,6.8,-2,55
Tie,5.9,-30,33
Tie,6.4,-30,64
Away Team Win,5.8,-6,50
Away Team Win,3.8,18,25
Home Team Win,6.2,2,37
Tie,6,-6,62
Home Team Win,6.6,-16,58
Tie,6.2,20,27
Tie,6.6,-12,52
Away Team Win,5.4,-30,29
Away Team Win,5.7,38,60
Home Team Win,6.8,-30,49
Home Team Win,7.1,-22,36
Home Team Win,7.3,-10,44
Tie,6.4,-12,54
Away Team Win,4.6,14,38
Away Team Win,5.8,-24,43
Away Team Win,5.3,22,54
Home Team Win,6.9,0,33
Tie,5.9,22,46
Home Team Win,6.4,-18,66
Away Team Win,6.1,-4,53
Home Team Win,7,44,65
Tie,6.6,2,67
Home Team Win,6.7,28,59
Home Team Win,7.4,4,36
Away Team Win,6,26,38
Away Team Win,5.9,-14,72
Home Team Win,8.3,8,47
Away Team Win,5.1,24,49
Away Team Win,5.1,-24,68
Home Team Win,6.4,-2,45
Away Team Win,6.1,-20,66
Away Team Win,5.7,-4,30
Home Team Win,6.8,-48,48
Away Team Win,5.5,50,42
Tie,6.3,42,66
Home Team Win,8.4,-20,73
Home Team Win,8,8,66
Tie,6.1,-14,58
Away Team Win,5.8,4,42
Away Team Win,5.7,-34,54
Away Team Win,5.7,6,58
Away Team Win,4.3,2,22
Tie,6.7,-12,79
Home Team Win,5.6,8,38
Tie,6.5,34,50
Away Team Win,5.8,-6,76
Tie,6.3,-20,35
Away Team Win,5.3,20,50
Away Team Win,5.5,-20,61
Home Team Win,6.5,-4,48
Home Team Win,7.3,0,75
Tie,5.9,-8,37
Tie,6.3,-6,43
Away Team Win,6,16,60
Home Team Win,7.2,-10,71
Away Team Win,5.2,6,51
Away Team Win,5.6,0,33
Home Team Win,7.1,-36,43
Home Team Win,7.5,0,55
Home Team Win,6.8,20,68
Home Team Win,10,16,75
Away Team Win,5.9,32,61
Away Team Win,5.2,-4,57
Away Team Win,5.6,10,25
Away Team Win,6,24,63
Away Team Win,4.8,8,56
Away Team Win,5.7,-22,63
Away Team Win,5.9,-8,42
Home Team Win,7.1,22,34
Tie,6.5,-30,54
Home Team Win,6,26,26
Tie,6.6,-22,61
Tie,6.3,0,62
Home Team Win,7.5,-16,66
Tie,6.3,10,44
Away Team Win,5,22,56
Away Team Win,5.7,0,31
Home Team Win,7.7,-4,69
Home Team Win,7.7,28,38
Away Team Win,5.3,-14,53
Home Team Win,7.8,20,61
Tie,6.9,8,58
Away Team Win,5.7,8,51
Tie,5.7,12,27
Home Team Win,6.9,-8,46
Away Team Win,5.6,14,50
Home Team Win,7.6,22,45
Home Team Win,7.1,6,66
Home Team Win,6.2,-6,41
Tie,6.3,16,29
Tie,5.7,34,62
Away Team Win,5.4,8,72
Home Team Win,6.7,-6,65
Home Team Win,6.7,20,31
Away Team Win,5.4,34,50
Away Team Win,5.6,0,45
Home Team Win,6.8,-22,72
Away Team Win,6.2,38,75
Home Team Win,6.8,36,63
Home Team Win,5.9,-32,30
Away Team Win,5.8,18,70
Tie,6.6,10,47
Away Team Win,5.3,-20,44
Tie,6.5,6,41
Home Team Win,7.7,-10,59
Tie,7.1,-14,57
Away Team Win,5,-4,40
Home Team Win,6.9,-10,47
Tie,6.3,0,41
Away Team Win,4.7,12,50
Tie,6.2,14,49
Away Team Win,5.9,-2,37
Tie,6.1,-34,53
Away Team Win,5.7,0,63
Away Team Win,5.8,0,66
Home Team Win,8.4,-6,64
Home Team Win,7.8,6,65
Home Team Win,6.9,20,35
Tie,5.9,18,49
Tie,6.5,-2,38
Home Team Win,6.8,12,44
Away Team Win,5.7,32,66
Away Team Win,4.8,12,46
Away Team Win,5.4,16,59
Home Team Win,9,-22,72
Home Team Win,6.9,-14,53
Home Team Win,6.6,20,62
Away Team Win,6.4,-22,53
Home Team Win,8.5,18,73
Home Team Win,6.4,16,28
Tie,6.7,-20,40
Tie,6.6,-34,37
Away Team Win,5.9,56,48
Away Team Win,5.7,2,54
Away Team Win,6.2,18,52
Home Team Win,8.1,10,66
Tie,5.6,40,37
Home Team Win,6.5,12,62
Away Team Win,4.7,12,66
Home Team Win,7.7,18,54
Away Team Win,5.6,26,43
Away Team Win,5.2,-10,36
Home Team Win,6.9,-2,55
Tie,6,-2,41
Home Team Win,6.6,26,53
Home Team Win,7,40,58
Tie,6.2,-18,47
Away Team Win,5.7,-12,66
Away Team Win,5.8,-12,50
Away Team Win,5.7,-20,71
Home Team Win,7,18,67
Away Team Win,4.5,4,36
Away Team Win,5.5,46,57
Home Team Win,6.5,-18,36
Away Team Win,5.6,60,47
Away Team Win,5.5,54,45
Home Team Win,7.5,12,40
Tie,6.8,28,55
Tie,6.8,6,53
Home Team Win,6.4,30,35
Home Team Win,6.9,-18,48
Tie,6.6,2,69
Home Team Win,7.4,-10,70
Tie,6.7,16,61
Tie,6.5,-16,64
Away Team Win,5.5,0,28
Home Team Win,8,12,73
Home Team Win,7.3,8,63
Away Team Win,5.7,28,59
Home Team Win,7.6,-30,58
Away Team Win,5.9,-8,59
Tie,7.1,8,69
Away Team Win,5.6,16,45
Home Team Win,6.4,0,32
Away Team Win,4.7,-10,58
Tie,6.6,0,44
Tie,6.7,4,70
Home Team Win,7,18,67
Tie,5.3,4,29
Away Team Win,6,-16,30
Home Team Win,6.6,42,43
Home Team Win,7.1,22,49
Away Team Win,5.6,-2,48
Away Team Win,4.9,20,38
Home Team Win,8.9,10,67
Tie,5.9,-10,42
Away Team Win,5.4,-28,45
Away Team Win,5,48,53
Away Team Win,5.9,40,69
Home Team Win,8.1,36,53
Away Team Win,5,2,50
Away Team Win,5.6,12,49
Home Team Win,7,16,54
Home Team Win,6.8,10,60
Away Team Win,4.8,4,41
Away Team Win,5.8,-2,69
Home Team Win,7.2,-32,66
Away Team Win,5.3,-24,68
Away Team Win,5.7,-18,53
Away Team Win,6.3,34,68
Away Team Win,5.2,-8,18
Away Team Win,4.5,2,48
Home Team Win,7.4,34,46
Tie,6.4,24,51
Home Team Win,6.7,38,46
Home Team Win,7.8,14,62
Away Team Win,5.5,-2,24
Away Team Win,6.4,2,62
Tie,6.3,-48,57
Away Team Win,5.3,4,51
Home Team Win,6.9,66,63
Home Team Win,6.9,30,58
Home Team Win,6.8,20,50
Away Team Win,5.7,-30,61
Home Team Win,6.5,-12,41
Away Team Win,5.8,46,31
Away Team Win,4.8,6,52
Away Team Win,5.4,2,41
Away Team Win,5.7,20,57
Away Team Win,5.6,16,64
Home Team Win,6.3,10,29
Home Team Win,7,24,70
Home Team Win,8.8,10,68
Home Team Win,7.3,8,54
Home Team Win,6.2,14,43
Away Team Win,6,6,47
Home Team Win,7.3,-28,37
Home Team Win,7.3,2,64
Away Team Win,2.8,-8,25
Away Team Win,3.2,24,34
Away Team Win,3.3,6,28
Away Team Win,3.7,12,39
Away Team Win,3.8,12,53
Away Team Win,3.8,10,36
Away Team Win,3.8,4,30
Away Team Win,3.9,24,45
Away Team Win,3.9,8,60
Away Team Win,4,26,40
Away Team Win,4,-16,25
Away Team Win,4,10,48
Away Team Win,4.1,10,43
Away Team Win,4.1,-2,38
Away Team Win,4.1,30,31
Away Team Win,4.1,26,48
Away Team Win,4.1,-12,46
Away Team Win,4.1,4,41
Away Team Win,4.2,-22,50
Away Team Win,4.2,-28,41
Away Team Win,4.2,-16,32
Away Team Win,4.2,28,44
Away Team Win,4.3,10,50
Away Team Win,4.3,4,67
Away Team Win,4.3,36,51
Away Team Win,4.3,-4,49
Away Team Win,4.3,6,55
Away Team Win,4.3,24,31
Away Team Win,4.3,-18,44
Away Team Win,4.4,-34,27
Away Team Win,4.4,-14,57
Away Team Win,4.4,24,49
Away Team Win,4.4,58,47
Away Team Win,4.4,30,49
Away Team Win,4.4,22,34
Away Team Win,4.4,0,38
Away Team Win,4.4,-14,44
Away Team Win,4.4,14,62
Away Team Win,4.4,18,72
Away Team Win,4.4,34,39
Away Team Win,4.4,16,65
Away Team Win,4.5,-10,61
Away Team Win,4.5,22,39
Away Team Win,4.5,22,42
Away Team Win,4.5,-18,51
Away Team Win,4.5,14,47
Away Team Win,4.5,34,37
Away Team Win,4.5,8,41
Away Team Win,4.5,34,63
Away Team Win,4.5,-14,33
Away Team Win,4.5,10,62
Away Team Win,4.5,42,40
Away Team Win,4.5,4,52
Away Team Win,4.5,8,49
Away Team Win,4.5,20,43
Tie,4.5,26,39
Away Team Win,4.5,-34,52
Away Team Win,4.5,-28,48
